変電所名 電圧(一次)（kV） 電圧(二次)（kV） 割引区分B
丸子変電所 77 6.6 割引無し
東塩田変電所 77 6.6 割引無し
塩田変電所 77 6.6 割引無し
榎戸変電所 77 6.6 割引無し
常滑変電所 77 6.6 割引無し
大谷変電所 77 6.6 割引無し
石瀬変電所 77 6.6 割引無し
矢田変電所 77 6.6 割引無し
新城変電所（２） 77 6.6 割引無し
川田変電所 77 6.6 割引無し
鳳来変電所 77 6.6 割引無し
湖南変電所 77 6.6 割引無し
下八町変電所 77 6.6 割引無し
穂積変電所 77 6.6 割引無し
西牧変電所 77 6.6 割引無し
釜戸変電所 77 6.6 割引無し
瑞南変電所 77 6.6 割引無し
陶変電所 77 6.6 割引無し
水野変電所 77 6.6 割引無し
品野変電所 77 6.6 割引無し
一色変電所 77 6.6 割引無し
吉良変電所 77 6.6 割引無し
富好変電所 77 6.6 割引無し
細池変電所 77 6.6 割引無し
市子変電所 77 6.6 割引無し
寺津変電所 77 6.6 割引無し
中原変電所 77 6.6 割引無し

幡豆変電所 77 6.6 割引無し
法光寺変電所 77 6.6 割引無し
新居変電所 77 6.6 割引無し
下朝比奈変電所 77 6.6 割引無し
利右衛門変電所 77 6.6 割引無し
吉田町変電所 77 6.6 割引無し
久野脇水力変電所 77 6.6 割引無し
大井川水力変電所（２） 77 6.6 割引無し
大間水力変電所（１） 77 6.6 割引無し
岡部変電所 77 6.6 割引無し
豊岡水力変電所 77 6.6 割引無し
気田水力変電所 77 6.6 割引無し
羽鳥変電所 77 6.6 割引無し
清沢水力変電設備 77 6.6 割引無し
城内変電所 77 6.6 割引無し
川辺変電所（２）（静岡市） 77 6.6 割引無し
長田変電所 77 6.6 割引無し
有東変電所 77 6.6 割引無し
新蒲原変電所 77 6.6 割引無し
蒲原変電所 77 6.6 割引無し
貝島変電所 77 6.6 割引無し
宍原変電所 77 6.6 割引無し
雨宮変電所（２） 77 6.6 割引無し
戸倉変電所 77 6.6 割引無し
更埴八幡変電所 77 6.6 割引無し
多気変電所 77 6.6 割引無し
片野変電所 77 6.6 割引無し
斉宮変電所 77 6.6 割引無し
笠原変電所 77 6.6 割引無し
多治見変電所 77 6.6 割引無し
大針変電所 77 6.6 割引無し
大畑変電所 77 6.6 割引無し
小泉変電所 77 6.6 割引無し
可睡変電所 77 6.6 割引無し
袋井変電所 77 6.6 割引無し
山科変電所 77 6.6 割引無し
浅羽町変電所 77 6.6 割引無し
北浅羽変電所 77 6.6 割引無し
青柳変電所（２） 77 6.6 割引無し
荒川変電所 77 6.6 割引無し
室村変電所 77 6.6 割引無し
青野変電所 77 6.6 割引無し
静里変電所 77 6.6 割引無し
草道島変電所 77 6.6 割引無し
岡田変電所 77 6.6 割引無し
巽変電所 77 6.6 割引無し
鯉ケ平変電所 77 6.6 割引無し
後田変電所 77 6.6 割引無し

坂下変電所 77 6.6 割引無し
坂本変電所 77 6.6 割引無し
中津変電所（２） 77 6.6 割引無し
苗木変電所 77 6.6 割引無し
付知変電所 77 6.6 割引無し
穂高変電所 77 6.6 割引無し
南豊科変電所 77 6.6 割引無し
犀川水力変電所 77 6.6 割引無し
駒場水力変電所（長野県下伊那郡） 77 6.6 割引無し
昼神水力変電所 77 6.6 割引無し
富草変電所 77 6.6 割引無し
和知野水力変電所 77 6.6 割引無し
